DEBUG 2020-12-07 10:16:42,670 ServiceRunner.java:216 - Service SPARK-MASTER changing state: SHUTTING_DOWN -> TERMINATED
DEBUG 2020-12-07 10:16:42,671 ServiceRunner.java:206 - Service SPARK-MASTER set state: SHUTTING_DOWN -> TERMINATED
DEBUG 2020-12-07 10:21:57,455 ServiceRunner.java:220 - Service SPARK-MASTER FAILED changing state: SHUTTING_DOWN -> NOT_STARTED
INFO  2020-12-07 10:21:58,138 Logging.scala:54 - Changing view acls to: dse
INFO  2020-12-07 10:21:58,142 Logging.scala:54 - Changing modify acls to: dse
INFO  2020-12-07 10:21:58,147 Logging.scala:54 - Changing view acls groups to: 
INFO  2020-12-07 10:21:58,152 Logging.scala:54 - Changing modify acls groups to: 
INFO  2020-12-07 10:21:58,156 Logging.scala:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(dse); groups with view permissions: Set(); users  with modify permissions: Set(dse); groups with modify permissions: Set()
INFO  2020-12-07 10:21:58,813 Logging.scala:54 - Successfully started service 'MasterUI' on port 7080.
INFO  2020-12-07 10:21:58,871 Logging.scala:54 - Bound MasterRedirectingUI to 0.0.0.0, and started at http://24b44898981b:7080
INFO  2020-12-07 10:21:58,875 Logging.scala:35 - Bound redirecting UI
DEBUG 2020-12-07 10:21:58,878 ServiceRunner.java:198 - Service SPARK-MASTER state is: NOT_STARTED
DEBUG 2020-12-07 10:21:59,879 ServiceRunner.java:198 - Service SPARK-MASTER state is: NOT_STARTED
DEBUG 2020-12-07 10:22:00,881 ServiceRunner.java:198 - Service SPARK-MASTER state is: NOT_STARTED
DEBUG 2020-12-07 10:22:01,882 ServiceRunner.java:198 - Service SPARK-MASTER state is: NOT_STARTED
DEBUG 2020-12-07 10:22:02,884 ServiceRunner.java:198 - Service SPARK-MASTER state is: NOT_STARTED
DEBUG 2020-12-07 10:22:03,864 ServiceRunner.java:198 - Service SPARK-MASTER state is: NOT_STARTED
INFO  2020-12-07 10:22:04,896 Logging.scala:35 - Stopped redirecting UI
INFO  2020-12-07 10:22:04,901 Logging.scala:35 - Awaiting LOCAL_QUORUM for Spark Master recovery storage
DEBUG 2020-12-07 10:22:04,970 ServiceRunner.java:216 - Service SPARK-MASTER changing state: NOT_STARTED -> STARTING
DEBUG 2020-12-07 10:22:04,971 ServiceRunner.java:206 - Service SPARK-MASTER set state: NOT_STARTED -> STARTING
INFO  2020-12-07 10:22:04,973 Logging.scala:35 - Starting SPARK-MASTER service...
INFO  2020-12-07 10:22:05,006 Logging.scala:54 - Changing view acls to: dse
INFO  2020-12-07 10:22:05,008 Logging.scala:54 - Changing modify acls to: dse
INFO  2020-12-07 10:22:05,010 Logging.scala:54 - Changing view acls groups to: 
INFO  2020-12-07 10:22:05,011 Logging.scala:54 - Changing modify acls groups to: 
INFO  2020-12-07 10:22:05,014 Logging.scala:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(dse); groups with view permissions: Set(); users  with modify permissions: Set(dse); groups with modify permissions: Set()
INFO  2020-12-07 10:22:05,223 Logging.scala:54 - Successfully started service 'sparkMaster' on port 7077.
DEBUG 2020-12-07 10:22:05,519 ServiceRunner.java:216 - Service SPARK-MASTER changing state: STARTING -> RUNNING
DEBUG 2020-12-07 10:22:05,520 ServiceRunner.java:206 - Service SPARK-MASTER set state: STARTING -> RUNNING
INFO  2020-12-07 10:22:05,521 Logging.scala:35 - SPARK-MASTER service is running
INFO  2020-12-09 10:27:44,806 Logging.scala:35 - SPARK-MASTER service finished
DEBUG 2020-12-09 10:27:44,818 ServiceRunner.java:198 - Service SPARK-MASTER state is: SHUTTING_DOWN
DEBUG 2020-12-09 10:27:44,820 ServiceRunner.java:198 - Service SPARK-MASTER state is: SHUTTING_DOWN
DEBUG 2020-12-09 10:27:44,822 ServiceRunner.java:220 - Service SPARK-MASTER FAILED changing state: NOT_STARTED -> SHUTTING_DOWN
DEBUG 2020-12-09 10:27:44,824 ServiceRunner.java:220 - Service SPARK-MASTER FAILED changing state: STARTING -> SHUTTING_DOWN
DEBUG 2020-12-09 10:27:44,825 ServiceRunner.java:220 - Service SPARK-MASTER FAILED changing state: RUNNING -> SHUTTING_DOWN
DEBUG 2020-12-09 10:27:44,827 ServiceRunner.java:216 - Service SPARK-MASTER changing state: SHUTTING_DOWN -> TERMINATED
DEBUG 2020-12-09 10:27:44,828 ServiceRunner.java:206 - Service SPARK-MASTER set state: SHUTTING_DOWN -> TERMINATED
